Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
BankBazaar,2008,Chennai,Finance,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,5967000.0,Series D,2020
Knorish,2016,New Delhi,Education,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,323000.0,Pre-series A,2020
Cube Wealth,2018,Mumbai,Technology,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",500000.0,Series B,2020
IVF Access,2019,Bangalore,Health,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,5000000.0,Series A,2020
Hoi Foods,2017,New Delhi,Food & Beverages,Quality food solution,Indrajeet Roy,Crowd Fund,2000000.0,Pre-series A,2020
Ola Financial Services,2016,Bangalore,Finance,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,27000000.0,Series A,2020
Toch,2016,Mumbai,Technology,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Pre-series A,2020
Euler Motors,2016,New Delhi,Transport,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,2530000.0,Series A,2020
Khatabook,2016,Bangalore,Finance,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,60000000.0,Series B,2020
LendingKart,2014,Ahmedabad,Finance,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D,2020
Eggoz,2017,Bihar,Agriculture,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",329000.0,Pre-series A,2020
Indian School Finance Company,2016,Hyderabad,Finance,NBFC that provides funding to education system,Unknown,Gray Matters Capital,5271000.0,Pre-series A,2020
Intello Labs,2016,Gurgaon,Commerce,Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,5900000.0,Series A,2020
SirionLabs,2012,Gurgaon,Technology,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital",44000000.0,Series C,2020
Refrens,2019,Bangalore,Technology,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Pre-series A,2020
Mintoak,2016,Mumbai,Finance,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,2000000.0,Pre-series A,2020
Vernacular ai,2016,Bangalore,Technology,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",5100000.0,Series A,2020
Varthana,2016,Bangalore,Finance,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,15000000.0,Series D,2020
Rooter,2016,New Delhi,Manufacturing,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre-series A,2020
